name,age,gender,cc_num,category,amt,street,city,state,zip,job,unix_time,is_fraud,predicted_fraud
Edward Sanchez,58,Male,38859492057661,gas_transport,9.38,594 White Dale Suite 530,Malad City,ID,83252,Nature conservation officer,1383652181,1,1
Christopher Miller,76,Male,213199865312311,misc_pos,1501.28,493 Fitzgerald Fields Suite 454,Varnell,GA,30756,Pensions consultant,1384071217,0,1
Monica Lane,50,Female,213161869125933,shopping_net,979.79,3270 Scott Islands,East Andover,ME,4226,Animal nutritionist,1385167402,0,1
Thomas Jenkins,46,Male,4379260813815979609,shopping_net,1582.33,93914 Gregory Via,Oakland,CA,94619,Barista,1379859760,0,1
Timothy Simmons,43,Male,3563837241599446,grocery_pos,312.74,1049 John Ports Suite 057,Newberg,OR,97132,Research scientist (physical sciences),1377478212,1,1
James Reese,62,Male,6517217825320610,shopping_pos,844.81,26975 Richardson Mills Apt. 402,Sontag,MS,39665,"Librarian, academic",1371950425,0,1
Jeffrey Smith,42,Male,3534330126107879,misc_net,779.4,713 Scott Pike Apt. 712,Bridger,MT,59014,Chartered loss adjuster,1374271256,1,1
Renee Jones,20,Female,4417677808209716,grocery_pos,277.3,914 Nancy Square,Birmingham,AL,35211,Operational investment banker,1378350448,1,1
Matthew Myers,40,Male,3535808924394848,shopping_net,1033.84,4936 Michelle Points,Tower Hill,IL,62571,Radio broadcast assistant,1384384897,1,1
Wesley Parker,39,Male,4713464490314802,grocery_pos,288.84,7452 Browning Port,Mc Intosh,SD,57641,"Designer, industrial/product",1373281554,1,1
Richard Vance,34,Male,376656886990758,misc_net,869.31,169 Shelia Knoll Suite 753,Zavalla,TX,75980,"Designer, jewellery",1378781948,1,1
Theresa Powell,43,Female,30199621383748,shopping_pos,896.5,117 Natasha Vista Suite 936,Leonard,TX,75452,Sub,1375838653,1,1
Mary Williams,22,Female,4599285557366057,grocery_pos,278.59,00315 Ashley Valleys,Burrton,KS,67020,Gaffer,1382660129,1,1
Joseph Nixon,55,Male,4500002361389,shopping_net,1060.92,86882 Desiree Camp Suite 047,Tyaskin,MD,21865,Music tutor,1388370590,0,1
Travis Daniel,61,Male,2242176657877538,gas_transport,6.6,1327 Rose Causeway Apt. 610,Senatobia,MS,38668,Database administrator,1387684589,1,1
John Lewis,18,Male,180020605265701,shopping_net,1017.05,7908 Derrick Mount,Morrowville,KS,66958,Chemical engineer,1380573716,1,1
Patrick Bates,52,Male,586100864972,misc_net,737.94,4481 Maldonado Hollow,Kirkwood,NY,13795,Advertising account executive,1379974167,1,1
Meredith Ayala,84,Female,630469040731,shopping_net,1098.94,7107 Henderson Station,Cascade Locks,OR,97014,Barrister,1383866373,1,1
Christian Johns,33,Male,3540075240003197,shopping_net,1385.91,892 Solis Neck,Lonsdale,MN,55046,Chief Strategy Officer,1382274759,0,1
Pamela Curtis,34,Female,3529597810116815,shopping_net,2371.66,8969 Fuentes Station Apt. 291,Mill Creek,PA,17060,Archaeologist,1387040761,0,1
Linda Hurst,72,Female,374497717543058,grocery_pos,303.46,31701 Tucker Square Suite 893,Wilton,ND,58579,"Designer, ceramics/pottery",1376278696,1,1
Marcia Molina,58,Female,4169388510116,grocery_pos,307.37,6744 Jimmy Extensions,Port Gibson,NY,14537,Database administrator,1383976913,1,1
Tara Richards,74,Female,4658490815480264,misc_net,748.26,4879 Cristina Station,Keisterville,PA,15449,Systems developer,1377384403,1,1
Dylan Bonilla,34,Male,639046421587,misc_net,759.36,2497 John Motorway Suite 922,Leetsdale,PA,15056,"Administrator, education",1387309324,1,1
Haley Wagner,77,Female,6011975266774121,grocery_pos,312.19,05561 Farrell Crescent,Annapolis,MD,21405,"Accountant, chartered certified",1377637634,1,1
Ashley Blanchard,60,Female,676245600876,home,356.16,292 Lowe Dam Suite 858,West Palm Beach,FL,33417,Historic buildings inspector/conservation officer,1373668008,0,1
Douglas Willis,61,Male,6564459919350820,shopping_net,955.16,619 Jeremy Garden Apt. 681,Benton,WI,53803,Public relations officer,1371859145,1,1
Veronica Burton,28,Female,38544312728630,shopping_net,1129.96,08932 Bonnie Stravenue,Bonita Springs,FL,34135,Claims inspector/assessor,1373509359,1,1
Amy Flynn,70,Female,573283817795,grocery_pos,325.1,46095 Tara Fords,Jaffrey,NH,3452,"Surveyor, hydrographic",1382851225,1,1
Ashley Robinson,85,Female,3592325941359225,entertainment,432.0,1007 Colton Forks,Hopewell,VA,23860,Purchasing manager,1375239057,0,1
Richard Waters,74,Male,4428780983793657331,shopping_pos,1645.28,7683 Natasha Way Apt. 945,Waukesha,WI,53186,"Therapist, occupational",1374370339,0,1
Frederick Robinson,55,Male,30510856607165,shopping_net,941.23,1125 Ray Track,Livonia,MI,48154,Horticultural consultant,1380926183,1,1
Dawn Gray,15,Female,3576021480694169,misc_pos,799.31,9486 Joel Common Suite 554,Topeka,KS,66618,Secondary school teacher,1376433990,0,1
Alicia Bishop,70,Female,676281772837,shopping_net,882.81,222 Freeman Islands,Whigham,GA,39897,"Editor, commissioning",1382916236,1,1
Frederick Robinson,55,Male,30510856607165,shopping_net,1118.62,1125 Ray Track,Livonia,MI,48154,Horticultural consultant,1380929393,1,1
Dylan Bonilla,34,Male,639046421587,shopping_net,1158.64,2497 John Motorway Suite 922,Leetsdale,PA,15056,"Administrator, education",1387237769,1,1
Brent Terrell,54,Male,372382441451095,shopping_pos,1589.94,502 Rice Plaza Apt. 979,Port Ewen,NY,12466,Heritage manager,1383039502,0,1
Kylie Kirby,24,Female,30434173205605,shopping_net,1402.47,79816 Jackson Squares,Shedd,OR,97377,Radio broadcast assistant,1372535645,0,1
Kayla Sutton,69,Female,213180742685905,shopping_net,981.4,010 Weaver Land,Carlotta,CA,95528,"Therapist, occupational",1386540428,1,1
Renee Jones,20,Female,4417677808209716,misc_net,739.85,914 Nancy Square,Birmingham,AL,35211,Operational investment banker,1378255610,1,1
Kevin Walters,62,Male,377550167323848,misc_net,777.27,87227 Tapia Burgs,Auburn,ME,4210,Tourist information centre manager,1387058610,1,1
Christopher Gilbert,50,Male,374125201044065,shopping_pos,691.7,20937 Reed Lakes Apt. 271,Washington,DC,20012,"Optician, dispensing",1382664299,0,1
Nicholas Tran,65,Male,30546453310167,grocery_pos,335.68,672 Randall Burg Suite 551,Belmont,NH,3220,"Scientist, research (medical)",1385343442,1,1
David Lewis,36,Male,374656033243756,shopping_net,2954.45,1499 Michael Rue,Arlington,VA,22213,Mudlogger,1372422291,0,1
Richard Waters,74,Male,4428780983793657331,shopping_pos,1453.27,7683 Natasha Way Apt. 945,Waukesha,WI,53186,"Therapist, occupational",1376035385,0,1
Scott Martin,43,Male,3502088871723054,misc_net,775.42,31472 Cody Place Suite 740,Kensington,MD,20895,Operations geologist,1376024339,0,1
David Miller,36,Male,3589255887819806,grocery_pos,305.34,622 Bradley Knoll Apt. 758,Hancock,MD,21750,Press photographer,1372844153,1,1
Joseph Spencer,74,Male,4981132848794,shopping_net,1212.06,7854 Stephanie Island Suite 788,Holloway,OH,43985,Child psychotherapist,1384589472,0,1
Mark Wood,22,Male,2720433095629877,shopping_pos,789.29,854 Walker Dale Suite 488,Bowdoin,ME,4287,"Engineer, electronics",1372635613,0,1
Dylan Bonilla,34,Male,639046421587,grocery_net,7.76,2497 John Motorway Suite 922,Leetsdale,PA,15056,"Administrator, education",1387247965,1,1
Erica Walker,52,Female,180046165512893,shopping_net,983.38,084 Holmes Avenue Suite 206,Stayton,OR,97383,"Engineer, biomedical",1385414493,1,1
Samuel Johnston,40,Male,6011348830550197,misc_net,732.78,16285 Jessica Lights,Birmingham,AL,35229,Musician,1387594655,0,1
Monica Cohen,37,Female,4512828414983801773,misc_net,831.67,864 Reynolds Plains,Uledi,PA,15484,Tree surgeon,1380254644,0,1
Amy Daugherty,22,Female,4335531783520911,shopping_net,1185.77,852 Thomas Well Suite 339,Owensville,MO,65066,Naval architect,1376264164,1,1
Christopher Cummings,52,Male,675961917837,grocery_pos,309.97,478 George Course Apt. 056,Sprague,NE,68438,Chiropodist,1373507036,1,1
Danielle Allen,68,Female,3501365119557234,misc_net,611.33,87198 Macias Drive Suite 389,Loving,NM,88256,Educational psychologist,1380714650,0,1
David Wolfe,45,Male,676369110710,grocery_pos,304.17,81261 Garcia Underpass Suite 741,Southfield,MI,48034,"Engineer, automotive",1379993904,1,1
Kathleen Heath,53,Female,2288748891690227,shopping_net,2965.05,9297 Victor Rest Apt. 382,Albuquerque,NM,87116,Charity officer,1386127731,0,1
Mary Schmidt,63,Female,180040027502291,shopping_net,982.07,022 Moore Island,New York City,NY,10162,Audiological scientist,1387146164,1,1
Stephanie Crane,65,Female,30487648872433,gas_transport,20.25,144 Martinez Curve,Central,IN,47110,Counsellor,1384308312,1,1
Jennifer Jones,84,Female,583699482621,shopping_net,313.77,5572 Kelly Plains Apt. 952,Waupaca,WI,54981,"Engineer, civil (contracting)",1375497248,0,1
Curtis Young,49,Male,30029052116970,grocery_pos,303.68,4319 Watson Shoals Suite 658,Falconer,NY,14733,Metallurgist,1379469770,1,1
Spencer Williams,61,Male,6596735789587928,grocery_pos,284.36,1145 Tony Drive Suite 080,Watertown,MN,55388,Licensed conveyancer,1377832799,1,1
Stephanie Murphy,50,Female,3573386445588324,entertainment,614.72,526 Stacy Walks,Barnard,SD,57426,Systems developer,1372373713,1,1
Thomas Hale,36,Male,2229378226512508,shopping_net,1090.29,949 Smith Parkway,Cazenovia,WI,53924,Occupational hygienist,1383607584,1,1
Vanessa Anderson,26,Female,4989847570577635369,shopping_net,909.86,21178 Brittney Locks,Prosperity,SC,29127,Archaeologist,1386446381,0,1
Stephanie Allen,52,Female,347399333635231,grocery_pos,318.43,13128 Hall Station Suite 588,Seligman,MO,65745,"Engineer, biomedical",1380924018,1,1
Michael Williams,47,Male,4292743669224718067,gas_transport,10.0,35822 Clayton Street Apt. 679,Great Mills,MD,20634,Art therapist,1386288986,1,1
Mary Myers,55,Female,4599735407877245080,misc_pos,665.39,39787 Pamela Fall Suite 639,Tiptonville,TN,38079,Geochemist,1379676521,0,1
Debbie Payne,43,Female,4026222041577,personal_care,21.87,204 Ashley Neck Apt. 169,Preston,CT,6365,Broadcast presenter,1372714991,0,1
Renee Walls,61,Female,4306586894261180,grocery_pos,292.42,86542 Jessica Fords Apt. 706,Veedersburg,IN,47987,"Development worker, community",1381895749,1,1
Christopher Adkins,38,Male,4103158249977,shopping_net,1084.29,3512 Knight Center,Lorenzo,TX,79343,Petroleum engineer,1384125632,1,1
Ashley Whitehead,37,Female,6592861994408652,grocery_net,7.4,58188 Madison Meadow Apt. 949,Cowlesville,NY,14037,Colour technologist,1385449807,0,1
Brittany Cox,59,Female,676173792455,shopping_net,1249.11,07177 William Dale Apt. 547,Santa Monica,CA,90403,"Civil engineer, contracting",1382527647,0,1
Christopher Matthews,38,Male,378006354724784,grocery_net,7.99,433 John Heights Apt. 849,Etlan,VA,22719,Senior tax professional/tax inspector,1384483586,1,1
Tamara Martinez,41,Female,30518206766474,misc_net,595.55,471 Marquez Prairie Suite 680,Matthews,MO,63867,Aeronautical engineer,1378479997,0,1
Robert Andrade,32,Male,2454076758463217,grocery_pos,275.16,27720 Martin Hills,Remer,MN,56672,Insurance risk surveyor,1374173038,1,1
David Wolfe,45,Male,676369110710,grocery_pos,275.59,81261 Garcia Underpass Suite 741,Southfield,MI,48034,"Engineer, automotive",1379991719,1,1
Frederick Robinson,55,Male,30510856607165,shopping_net,1098.48,1125 Ray Track,Livonia,MI,48154,Horticultural consultant,1380926207,1,1
Kyle Wright,52,Male,6597248210463122,misc_net,740.92,610 Samantha Park Suite 149,Whittemore,IA,50598,Optometrist,1381276354,1,1
Amanda Alexander,54,Female,3527063666782582,shopping_net,1030.08,21810 James Mall,Camden,TX,75934,Colour technologist,1381877365,1,1
Roberta Mccarthy,47,Female,375974680629816,shopping_net,1310.64,94431 Matthew Mall Suite 296,Plymouth,CT,6782,Herpetologist,1378574110,0,1
Vincent Cain,74,Male,30570197515105,grocery_pos,269.66,64851 Cole Turnpike,Hartford,AL,36344,Jewellery designer,1381981269,1,1
Chris Dixon,30,Male,3576281490078437,misc_net,710.75,919 Miller Isle,Williams,IN,47470,Financial adviser,1375399606,1,1
Thomas Jenkins,46,Male,4379260813815979609,shopping_pos,1045.52,93914 Gregory Via,Oakland,CA,94619,Barista,1384380893,0,1
Monica Tucker,21,Female,4653879239169997,grocery_pos,301.61,302 Christina Islands,Smiths Grove,KY,42171,"Therapist, sports",1375498877,1,1
Tommy Dixon,67,Male,30491348102802,shopping_net,1135.07,8829 Steele Station,Dresden,KS,67635,"Librarian, public",1383781338,1,1
Kenneth Edwards,65,Male,4671727014157745,grocery_pos,330.12,3653 Ryan Crossroad,Andrews,IN,46702,Retail banker,1374990102,1,1
Ricky Dunn,37,Male,3500165543009955,shopping_net,913.17,97689 Davis Point Apt. 967,Detroit,MI,48214,Health visitor,1385243565,1,1
Debbie Payne,43,Female,4026222041577,misc_net,736.63,204 Ashley Neck Apt. 169,Preston,CT,6365,Broadcast presenter,1383264493,1,1
Sara Ramirez,32,Female,3596217206093829,shopping_net,1334.9,23843 Scott Island,Birmingham,IA,52535,Camera operator,1387110451,0,1
Melissa Phillips,59,Female,501882822387,shopping_net,1166.0,5069 Scott Pass Apt. 654,Meadville,MS,39653,"Therapist, horticultural",1373585268,1,1
Lauren Anderson,48,Female,4716561796955522,grocery_pos,338.6,11014 Chad Lake Apt. 573,Heart Butte,MT,59448,Water engineer,1387585283,1,1
Justin Bell,33,Male,4710792708725663,shopping_net,945.16,954 Green Wall,Churubusco,IN,46723,"Research officer, trade union",1384812367,1,1
Brent Terrell,54,Male,372382441451095,shopping_net,1046.28,502 Rice Plaza Apt. 979,Port Ewen,NY,12466,Heritage manager,1377036430,1,1
Brian Hogan,60,Male,4972228199573984,shopping_net,1023.43,3316 Cindy Land,Lane,OK,74555,Quantity surveyor,1385245042,1,1
Danielle Walker,66,Female,30181367542315,shopping_net,986.24,9824 Mitchell Run,Powell Butte,OR,97753,Local government officer,1372206801,0,1
Kyle Wright,52,Male,6597248210463122,entertainment,637.33,610 Samantha Park Suite 149,Whittemore,IA,50598,Optometrist,1381184081,1,1
Richard Waters,74,Male,4428780983793657331,shopping_net,995.02,7683 Natasha Way Apt. 945,Waukesha,WI,53186,"Therapist, occupational",1374361239,1,1
Edward Hensley,34,Male,676275912597,shopping_net,850.57,24318 Dixon Mills,Elk Rapids,MI,49629,Chief Financial Officer,1385578000,1,1
Christopher Castaneda,53,Male,3514865930894695,shopping_net,1440.65,1632 Cohen Drive Suite 639,High Rolls Mountain Park,NM,88325,Naval architect,1387521639,0,1
Thomas Gibson,72,Male,348253506557335,grocery_pos,332.71,32745 Silva Springs Suite 040,Grand Bay,AL,36541,Armed forces logistics/support/administrative officer,1375833234,1,1
Christopher Gilbert,50,Male,374125201044065,shopping_net,1121.05,20937 Reed Lakes Apt. 271,Washington,DC,20012,"Optician, dispensing",1387495157,1,1
Jeffrey Smith,42,Male,3534330126107879,shopping_net,843.65,713 Scott Pike Apt. 712,Bridger,MT,59014,Chartered loss adjuster,1374275440,1,1
Susan Mills,68,Female,571844099986,grocery_pos,344.74,005 Cody Estates,Louisville,KY,40202,Engineering geologist,1372493800,1,1
Debra Eaton,85,Female,378858024506425,shopping_net,1008.11,72743 Brian Run,Paradise Valley,AZ,85253,Building surveyor,1382139539,1,1
Mary Humphrey,25,Female,3577794103155425,misc_net,772.78,9853 Flynn Hollow Apt. 602,Reynolds,ND,58275,Visual merchandiser,1375494622,1,1
Bryan Torres,53,Male,6540981358631302,misc_net,929.98,152 James Centers Apt. 768,Detroit,MI,48221,Retail manager,1377919860,0,1
Lori Bishop,20,Female,3501942333500073,misc_net,870.55,08056 Alvarado Club Suite 699,Phoenix,AZ,85086,Counselling psychologist,1381796449,1,1
Erika Mason,78,Female,180046617132290,grocery_pos,288.17,083 Karen Island Apt. 656,Goreville,IL,62939,"Teacher, secondary school",1382725549,1,1
Brian Simpson,53,Male,4225990116481262579,shopping_net,1197.41,2711 Duran Pines,Honokaa,HI,96727,Physiotherapist,1374575835,0,1
Mario Johns,85,Male,341283058448499,grocery_pos,323.22,62130 Miller Square Suite 785,Brinson,GA,39825,"Engineer, broadcasting (operations)",1378346697,1,1
Vincent Waller,66,Male,4623560839669,shopping_net,992.81,9379 Vanessa Run Apt. 400,Lohrville,IA,51453,Administrator,1378579488,1,1
Lawrence Davis,51,Male,377654590313960,shopping_net,895.63,7421 Serrano Lane Apt. 580,Powell,TN,37849,"Teacher, special educational needs",1384499355,0,1
Kayla Jones,32,Female,342952484382519,shopping_net,871.05,6033 Young Track Suite 804,East Canaan,CT,6024,Comptroller,1373650475,0,1
Gregory Wallace,44,Male,503848303379,misc_net,614.65,27203 Darrell Landing,Saint James City,FL,33956,Sport and exercise psychologist,1385027741,0,1
Margaret Williams,94,Female,4509142395811241,shopping_net,1236.28,165 Jerry Meadows Suite 460,Surrency,GA,31563,"Engineer, technical sales",1378246871,1,1
Meredith Ayala,84,Female,630469040731,shopping_net,964.13,7107 Henderson Station,Cascade Locks,OR,97014,Barrister,1372754709,0,1
Robert Andrade,32,Male,2454076758463217,shopping_net,958.05,27720 Martin Hills,Remer,MN,56672,Insurance risk surveyor,1374185378,1,1
Richard Waters,74,Male,4428780983793657331,shopping_net,960.91,7683 Natasha Way Apt. 945,Waukesha,WI,53186,"Therapist, occupational",1374361514,1,1
Billy Mcdonald,61,Male,341542810616333,misc_net,830.7,304 Ryan Port Suite 335,Camden,MO,64017,Colour technologist,1381879227,1,1
Monica Tucker,21,Female,4653879239169997,shopping_net,891.63,302 Christina Islands,Smiths Grove,KY,42171,"Therapist, sports",1375658659,1,1
Amanda Fitzgerald,35,Female,370612217861404,gas_transport,12.01,298 Kayla Lights,Bristol,PA,19007,"Administrator, charities/voluntary organisations",1383525867,1,1
Mary Schmidt,63,Female,180040027502291,grocery_pos,309.95,022 Moore Island,New York City,NY,10162,Audiological scientist,1387157725,1,1
Brian Hogan,60,Male,4972228199573984,grocery_pos,353.11,3316 Cindy Land,Lane,OK,74555,Quantity surveyor,1385261474,1,1
Frank Foster,45,Male,4481131401752,grocery_pos,317.37,37910 Ward Lights,Shrewsbury,MA,1545,English as a second language teacher,1382413621,1,1
Christian Roman,46,Male,3587044315915002,misc_net,760.29,495 Fisher Throughway,Grand Junction,TN,38039,Clothing/textile technologist,1385493842,1,1
Danielle Yu,44,Female,30238755902988,home,255.05,5395 Colon Burgs Suite 037,Thrall,TX,76578,Press sub,1377212429,0,1
Stephanie Gill,42,Female,630423337322,grocery_pos,354.08,43039 Riley Greens Suite 393,Orient,WA,99160,Special educational needs teacher,1386212695,1,1
John Clarke,58,Male,30290551782700,shopping_net,1041.01,27909 Peter Motorway,Cadiz,KY,42211,Commissioning editor,1375051373,1,1
Rachel Williams,83,Female,4883407061576,shopping_net,974.36,6386 Bailey Hill Apt. 421,Seattle,WA,98118,Systems developer,1382742373,1,1
Patricia Leach,33,Female,3528407217576457,shopping_net,1536.55,71309 Martinez Stravenue,Kingsport,TN,37663,Warden/ranger,1378672328,0,1
